,name,symbol,currentPrice,r,s,m,v,PE,revenueGrowth,operatingCashflow,freeCashflow,marketValue
0,國化,1713.TW,38.8,0.00017219120006462096,14.3087723135097,0.00017384443339352664,0.017730570339210723,5.761098275633964,-0.376,139030000,67719504,5856937600.0
0,和桐,1714.TW,8.35,5.191346181412139e-05,8.036882279896437,5.6722399949575686e-05,0.019845639431087025,18.27386778908431,-0.18,1652514048,858942144,8405778000.0
0,長興,1717.TW,27.9,0.00020554755419602885,22.168068543768914,0.00021283508531357273,0.01850534661187467,19.474167822596225,-0.177,7738823168,2638989568,32873731660.8
0,中纖,1718.TW,8.05,1.8084309307028878e-05,7.733112514107703,3.63013863999666e-05,0.02301755083155015,-6.288676871437195,0.165,7987637760,-7933678080,10800524000.0
0,生達,1720.TW,59.6,0.0001982929642416121,28.395077142862178,0.00022410427139837698,0.01796344229819463,5.9061386596650465,0.019,1306509056,651125248,10650281600.0
0,三晃,1721.TW,13.2,-4.242409038650087e-05,13.484759414957956,-1.274753164376719e-05,0.025162194433326773,-16.44010724146012,-0.416,346528000,275021120,2440468800.0
0,台肥,1722.TW,61.0,0.00011142855827772568,53.910004001063164,0.00012254635105761352,0.01912517842141489,12.548935451101912,0.61,6775537152,2621150976,59780000000.0
0,中碳,1723.TW,118.5,0.00038709620797529695,90.59440760225489,0.00038923391067251505,0.015403108011199054,13.153954097159081,-0.293,2121219968,1311073280,27509775000.0
0,元禎,1725.TW,20.2,0.00032779788646636695,12.883920627774167,0.00033425769039234515,0.018092525685352988,9.356679980909588,-0.321,527390016,279361632,3672966000.0
0,永記,1726.TW,73.2,8.588915272059941e-05,56.43214967043324,9.802160120719956e-05,0.012100773745217003,11.574065078022612,-0.05,1136900992,780073152,11858400000.0
