,symbol,name,foreign_invest,foreign_proprietor,invest_trust,proprietor,total
0,00878,國泰永續高股息  ,"42,333,526",0,0,"15,826,128","58,159,654"
1,0056,元大高股息      ,"16,153,973",0,0,"23,448,903","39,602,876"
2,2883,開發金          ,"51,505,000",0,"-24,499,000","274,000","27,280,000"
3,00881,國泰台灣5G+     ,"7,833,900",0,0,"13,591,309","21,425,209"
4,2891,中信金          ,"19,915,616",0,"2,265,000","-785,510","21,395,106"
5,2887,台新金          ,"20,073,487",0,"68,000","-280,019","19,861,468"
6,2884,玉山金          ,"22,040,126",0,"91,000","-2,407,420","19,723,706"
7,0050,元大台灣50      ,"24,601,155",0,0,"-5,484,113","19,117,042"
8,2610,華航            ,"17,490,685",0,"1,100,000","175,278","18,765,963"
9,2881,富邦金          ,"14,984,648",0,"1,894,823","315,168","17,194,639"
10,00900,富邦特選高股息30,"5,627,060",0,0,"11,522,648","17,149,708"
11,2330,台積電          ,"17,669,238",0,"111,099","-772,419","17,007,918"
12,00715L,期街口布蘭特正2 ,"-770,000",0,0,"17,493,000","16,723,000"
13,2885,元大金          ,"17,126,236",0,"-117,224","-498,719","16,510,293"
14,2886,兆豐金          ,"15,714,500",0,"1,422,000","-841,482","16,295,018"
15,2317,鴻海            ,"18,105,353",0,"-2,005,086","-356,000","15,744,267"
16,2892,第一金          ,"12,471,044",0,"1,799,000","-66,161","14,203,883"
17,2405,輔信            ,"13,174,120",0,0,"5,000","13,179,120"
18,3037,欣興            ,"7,213,233",0,"5,499,030","-244,531","12,467,732"
19,00922,國泰台灣領袖50  ,"12,586,000",0,0,"-670,177","11,915,823"
20,2888,新光金          ,"18,447,100",0,0,"-7,076,800","11,370,300"
21,2882,國泰金          ,"9,715,954",0,"1,175,396","90,683","10,982,033"
22,2353,宏碁            ,"22,652,268",0,"-11,063,096","-631,467","10,957,705"
23,1605,華新            ,"9,729,386",0,"-5,361","576,626","10,300,651"
24,3481,群創            ,"10,417,000",0,0,"-150,288","10,266,712"
25,2890,永豐金          ,"9,222,500",0,"2,607,000","-1,911,063","9,918,437"
26,5880,合庫金          ,"9,318,230",0,"-272,000","-78,156","8,968,074"
27,1303,南亞            ,"8,303,820",0,"901,912","-305,487","8,900,245"
28,2801,彰銀            ,"8,697,130",0,"-300,000","-121,000","8,276,130"
29,00893,國泰智能電動車  ,"-858,000",0,0,"8,710,733","7,852,733"
30,2002,中鋼            ,"18,654,481",0,"-10,579,000","-269,148","7,806,333"
31,2880,華南金          ,"7,534,292",0,"61,000","-124,000","7,471,292"
32,00753L,中信中國50正2   ,"1,767,000",0,0,"5,372,359","7,139,359"
33,00929,復華台灣科技優息,"12,288,650",0,0,"-5,184,936","7,103,714"
34,3706,神達            ,"6,572,000",0,"-1,000","135,292","6,706,292"
35,6770,力積電          ,"6,749,462",0,"-134,456","27,137","6,642,143"
36,2834,臺企銀          ,"6,459,026",0,"-22,000","3,000","6,440,026"
37,00923,群益台ESG低碳50 ,"700,000",0,0,"5,492,092","6,192,092"
38,3545,敦泰            ,"6,146,845",0,0,"-115,728","6,031,117"
39,2313,華通            ,"-684,274",0,"7,739,000","-1,129,339","5,925,387"
40,3005,神基            ,"5,398,000",0,"415,677","-290,697","5,522,980"
41,2324,仁寶            ,"3,535,000",0,"2,675,663","-746,104","5,464,559"
42,3231,緯創            ,"2,184,105",0,"3,244,000","-169,146","5,258,959"
43,1301,台塑            ,"5,374,010",0,"-65,546","-130,008","5,178,456"
44,4938,和碩            ,"5,468,800",0,"-305,899","-77,595","5,085,306"
45,00665L,富邦恒生國企正2 ,"751,000",0,0,"4,281,055","5,032,055"
46,00671R,富邦NASDAQ反1   ,0,0,0,"4,682,681","4,682,681"
47,1101,台泥            ,"2,965,762",0,"1,477,000","235,814","4,678,576"
48,9904,寶成            ,"4,604,000",0,"-9,000","20,008","4,615,008"
49,3711,日月光投控      ,"4,333,982",0,"347,681","-156,688","4,524,975"
50,1326,台化            ,"4,403,400",0,"32,000","29,740","4,465,140"
51,2312,金寶            ,"4,147,000",0,0,"281,157","4,428,157"
52,4960,誠美材          ,"4,330,000",0,0,"2,000","4,332,000"
53,006208,富邦台50        ,"2,704,136",0,0,"1,531,584","4,235,720"
54,2369,菱生            ,"3,912,000",0,0,"1,002","3,913,002"
55,3694,海華            ,"3,838,000",0,0,"5,170","3,843,170"
56,2867,三商壽          ,"3,951,000",0,0,"-111,000","3,840,000"
57,3062,建漢            ,"3,596,000",0,0,"110,504","3,706,504"
58,2382,廣達            ,"4,662,806",0,"606,949","-1,571,275","3,698,480"
59,2356,英業達          ,"3,117,150",0,"-186,000","759,086","3,690,236"
60,1314,中石化          ,"3,661,000",0,0,"-61,800","3,599,200"
61,1216,統一            ,"3,453,400",0,"-18,000","89,595","3,524,995"
62,2812,台中銀          ,"3,460,081",0,"-10,000","7,000","3,457,081"
63,2105,正新            ,"3,470,400",0,"-1,140","-21,318","3,447,942"
64,5876,上海商銀        ,"2,246,000",0,"1,040,397","55,328","3,341,725"
65,2409,友達            ,"4,818,000",0,"-228,000","-1,249,000","3,341,000"
66,6505,台塑化          ,"3,147,740",0,"11,000","48,976","3,207,716"
67,00637L,元大滬深300正2  ,"-1,510,000",0,0,"4,670,822","3,160,822"
68,00905,FT臺灣Smart     ,"338,000",0,0,"2,804,714","3,142,714"
69,1402,遠東新          ,"2,293,214",0,"1,631,000","-821,018","3,103,196"
70,00932,兆豐永續高息等權,"1,350,000",0,0,"1,706,194","3,056,194"
71,2201,裕隆            ,"3,191,864",0,0,"-175,610","3,016,254"
72,00891,中信關鍵半導體  ,"965,000",0,0,"2,050,044","3,015,044"
73,00830,國泰費城半導體  ,"1,556,959",0,"180,000","1,263,494","3,000,453"
74,2027,大成鋼          ,"3,413,000",0,"-150,000","-280,820","2,982,180"
75,4904,遠傳            ,"2,453,012",0,"700,217","-224,237","2,928,992"
76,2023,燁輝            ,"2,922,000",0,0,168,"2,922,168"
77,2845,遠東銀          ,"2,944,000",0,"1,000","-35,000","2,910,000"
78,2347,聯強            ,"2,832,600",0,"461,878","-487,605","2,806,873"
79,3682,亞太電          ,"2,400,456",0,0,"321,000","2,721,456"
80,2454,聯發科          ,"2,606,699",0,"160,588","-94,279","2,673,008"
81,00918,大華優利高填息30,"24,000",0,0,"2,544,462","2,568,462"
82,2408,南亞科          ,"7,314,868",0,"-5,068,917","320,419","2,566,370"
83,2014,中鴻            ,"1,168,864",0,"982,000","372,000","2,522,864"
84,2323,中環            ,"2,434,060",0,"-1,000","9,041","2,442,101"
85,6005,群益證          ,"2,402,000",0,"1,000",0,"2,403,000"
86,2889,國票金          ,"2,325,000",0,"-4,000","-25,000","2,296,000"
87,00713,元大台灣高息低波,"715,771",0,"200,000","1,196,121","2,111,892"
