,symbol,name,foreign_invest,foreign_proprietor,invest_trust,proprietor,total
87,6243,迅杰            ,"744,000",0,0,"45,000","789,000"
88,2439,美律            ,"768,475",0,"-3,277","19,522","784,720"
89,0050,元大台灣50      ,"3,816,999",0,"80,000","-3,113,667","783,332"
90,2399,映泰            ,"754,000",0,0,0,"754,000"
91,1444,力麗            ,"748,000",0,0,"3,020","751,020"
92,6257,矽格            ,"629,000",0,"-5,144","100,853","724,709"
93,2337,旺宏            ,"157,000",0,"441,857","118,915","717,772"
94,00894,中信小資高價30  ,"-41,000",0,0,"755,503","714,503"
95,00903,富邦元宇宙      ,"-171,000",0,0,"867,701","696,701"
96,6695,芯鼎            ,"789,000",0,0,"-96,000","693,000"
97,2881,富邦金          ,"894,144",0,"63,170","-274,800","682,514"
98,2547,日勝生          ,"692,000",0,0,"-24,000","668,000"
99,2365,昆盈            ,"669,000",0,0,"-2,000","667,000"
100,1229,聯華            ,"633,100",0,"3,369","12,594","649,063"
101,5706,鳳凰            ,"579,010",0,0,"66,946","645,956"
102,2634,漢翔            ,"504,000",0,0,"139,233","643,233"
103,00897,富邦基因免疫生技,"1,094,000",0,0,"-479,104","614,896"
104,2520,冠德            ,"437,000",0,0,"173,001","610,001"
105,2633,台灣高鐵        ,"598,262",0,0,"5,000","603,262"
106,1582,信錦            ,"663,000",0,0,"-69,000","594,000"
107,3380,明泰            ,"626,000",0,0,"-44,750","581,250"
108,3376,新日興          ,"886,362",0,"-194,000","-118,829","573,533"
109,2106,建大            ,"110,950",0,"452,000","2,524","565,474"
110,9939,宏全            ,"394,128",0,"80,000","88,205","562,333"
111,6005,群益證          ,"551,000",0,0,0,"551,000"
112,6176,瑞儀            ,"387,970",0,"157,552","1,217","546,739"
113,3008,大立光          ,"428,542",0,"96,429","20,607","545,578"
114,3029,零壹            ,"531,000",0,0,"10,008","541,008"
115,8150,南茂            ,"512,000",0,"-7,789","34,000","538,211"
116,5876,上海商銀        ,"515,412",0,"30,384","-18,000","527,796"
117,00757,統一FANG+       ,"-449,000",0,0,"974,881","525,881"
118,2425,承啟            ,"522,000",0,0,0,"522,000"
119,6177,達麗            ,"516,349",0,0,"1,000","517,349"
120,4960,誠美材          ,"512,510",0,0,"-2,000","510,510"
121,2748,雲品            ,"596,000",0,"-65,000","-33,403","497,597"
122,1711,永光            ,"495,000",0,0,"2,145","497,145"
123,6153,嘉聯益          ,"429,000",0,0,"60,426","489,426"
124,3060,銘異            ,"490,000",0,0,"-1,006","488,994"
125,2867,三商壽          ,"616,421",0,0,"-128,000","488,421"
126,3042,晶技            ,"462,000",0,"-4,044","29,958","487,914"
127,2476,鉅祥            ,"588,000",0,0,"-100,481","487,519"
128,9919,康那香          ,"487,000",0,0,0,"487,000"
129,8110,華東            ,"483,000",0,0,221,"483,221"
130,3034,聯詠            ,"375,027",0,"141,236","-34,845","481,418"
131,1471,首利            ,"480,000",0,0,0,"480,000"
132,2211,長榮鋼          ,"480,000",0,"-4,284","1,580","477,296"
133,1440,南紡            ,"465,000",0,0,"-1,960","463,040"
