Date,Open,High,Low,Close,Adj Close,Volume,r,s,m,v
2021-08-24,150.5,152.5,149.5,150.0,140.47918701171875,51267,0.0033389012655146303,156.525,-0.0059631710413408975,0.02829844314040949
2021-08-25,151.0,152.5,150.0,152.0,142.35226440429688,83425,0.013245226750020723,155.55,-0.0060351372879859175,0.02824494953312692
2021-08-26,151.5,154.0,151.0,151.5,141.8839874267578,45764,-0.003294895896852538,154.9,-0.00411624726280014,0.026971326717609406
2021-08-27,156.0,163.5,156.0,163.5,153.12232971191406,155125,0.07622736538788431,154.675,-0.0013575494532975373,0.032028747817667
2021-08-30,164.0,172.5,158.5,162.0,151.717529296875,132810,-0.009216655104923952,154.475,-0.0012195726562079525,0.03198651219779142
2021-08-31,164.0,171.0,159.5,168.5,157.8049774169922,259313,0.039339414560032294,154.75,0.0016592774492827072,0.032950733035134454
2021-09-01,166.0,172.0,165.0,171.0,160.1462860107422,301258,0.014727806710243386,155.2,0.002703361063513788,0.03302089002655234
2021-09-02,168.5,170.0,162.0,165.5,154.99539184570312,171601,-0.03269236168554228,155.45,0.001533862612352352,0.033871715353378046
2021-09-03,166.0,172.5,165.0,169.0,158.27322387695312,258740,0.02092752010595582,155.875,0.0025802386176501427,0.034143992366849014
2021-09-06,167.0,171.5,167.0,169.0,158.27322387695312,160791,0.0,156.3,0.0025802386176501427,0.034143992366849014
2021-09-07,166.5,168.0,163.0,165.0,154.52711486816406,86633,-0.023953241022492872,156.9,0.0037753776254072545,0.03267227552763525
2021-09-08,162.5,165.0,159.5,161.5,151.249267578125,47273,-0.021440331237869405,157.45,0.0035271029236890383,0.032852623175911824
2021-09-09,162.0,165.0,159.0,165.0,154.52711486816406,31891,0.021440331237869408,157.85,0.0024849834276136295,0.03187456310053869
2021-09-10,165.0,171.0,165.0,171.0,160.1462860107422,172423,0.035718082602079246,158.8,0.0058891517828191745,0.031591053152430736
2021-09-13,171.5,174.0,167.0,170.0,159.20974731445312,157404,-0.005865119452398134,159.525,0.004457635271548647,0.03143437180196908
2021-09-14,172.5,173.0,167.0,169.5,158.7415008544922,90870,-0.002945510229756803,160.425,0.005613365093554054,0.030668889296368722
2021-09-15,167.0,168.0,160.5,164.5,154.05885314941406,129094,-0.02994235661507834,161.15,0.004613763805458543,0.03151693888988147
2021-09-16,165.0,165.0,161.5,161.5,151.249267578125,41458,-0.0184054275427153,162.2,0.006964882694445543,0.02751701661709332
2021-09-17,163.5,165.0,161.0,164.5,154.05885314941406,58430,0.018405427542715343,163.2,0.006481553132646994,0.027209944573381
2021-09-22,162.0,164.5,160.0,163.5,153.12232971191406,71920,-0.006097579868118445,163.9,0.004475829875328356,0.026543729703647732
2021-09-23,164.0,164.0,161.5,163.0,152.65406799316406,39340,-0.003062789530545767,164.55,0.0041557453355253356,0.02659670660127945
2021-09-24,162.5,163.0,160.0,161.5,151.249267578125,37580,-0.00924505814405105,165.025,0.003031231090821747,0.026667527517898144
2021-09-27,163.0,163.0,159.5,160.5,150.312744140625,53197,-0.006211200092640636,165.475,0.0028854158810323422,0.026711874812966198
2021-09-28,159.5,162.0,159.5,160.5,150.312744140625,49120,0.0,165.325,-0.0009259523883618734,0.02038538481891528
2021-09-29,159.0,160.0,156.0,158.0,147.97142028808594,78595,-0.015698909543103753,165.125,-0.0012500651102708635,0.02057479027266817
2021-09-30,156.0,159.5,156.0,159.0,148.907958984375,23950,0.006309169193264756,164.65,-0.00290157737860924,0.01835068363622813
2021-10-01,157.0,159.0,156.0,158.5,148.43968200683594,54785,-0.00314960890289622,164.025,-0.0037954481592662203,0.017876021053290753
2021-10-04,160.0,163.0,157.0,158.0,147.97142028808594,73075,-0.0031595602903684815,163.65,-0.002318808089507531,0.016532669204336936
2021-10-05,157.0,158.0,150.0,155.5,145.63009643554688,53287,-0.015949301407677953,162.975,-0.004162649165189219,0.01584573235699137
