Date,Open,High,Low,Close,Adj Close,Volume,r,s,m,v
2021-12-28,170.0,173.0,156.5,156.5,152.77268981933594,92512,-0.0944384668332452,175.925,0.014330883819799722,0.11092894248225307
2021-12-29,156.5,163.5,148.0,151.0,147.40370178222656,139630,-0.035776173165283594,174.375,-0.009336342513093544,0.04919209644649744
2021-12-30,151.5,166.0,151.5,156.5,152.77268981933594,37140,0.03577617316528365,173.85,-0.003246890121827348,0.046674463086286186
2022-01-03,163.5,163.5,156.5,163.5,159.60598754882812,8604,0.04375698035710009,173.575,-0.0016542862292882657,0.04774971141298937
2022-01-04,156.5,163.5,156.5,162.5,158.6298065185547,33439,-0.006134988567515944,173.2,-0.0022560217640234794,0.04772533024813112
2022-01-05,162.5,162.5,155.5,162.5,158.6298065185547,6242,0.0,173.15,-0.0003067494283757965,0.04693583611413207
2022-01-06,155.5,162.5,155.0,162.5,158.6298065185547,9304,0.0,172.125,-0.005940407553581438,0.03870084525149673
2022-01-07,155.5,162.5,150.0,156.5,152.77268981933594,20604,-0.037621991789584294,170.3,-0.010481708946233886,0.03667104281566653
2022-01-10,152.5,156.5,152.0,152.5,148.8679656982422,7596,-0.02589141393274159,168.375,-0.01125544159995818,0.03683249694131585
2022-01-11,156.5,156.5,144.5,150.5,146.9156036376953,62772,-0.013201511858535842,166.875,-0.009088384679200256,0.03526960596510788
2022-01-12,150.5,150.5,144.0,146.0,142.5227813720703,59837,-0.030356462480593954,165.425,-0.009058967610758875,0.03525065715019322
2022-01-13,146.0,150.5,145.5,146.0,142.5227813720703,15995,0.0,163.525,-0.01156645679503245,0.03249308135654487
2022-01-14,150.5,151.0,144.5,151.0,147.40370178222656,11459,0.03367321510658781,162.0,-0.009198790844499052,0.03402031123454912
2022-01-17,151.0,151.0,145.0,145.5,142.03468322753906,13023,-0.037103750203377084,160.2,-0.011053978354667907,0.03450056028780605
2022-01-18,151.0,151.0,145.5,145.5,142.03468322753906,8456,0.0,158.75,-0.009087432751546729,0.03391998632125454
2022-01-19,145.5,148.5,138.5,144.0,140.57040405273438,54696,-0.010362787035546547,157.45,-0.008299256873713055,0.03368556064180886
2022-01-20,144.0,144.0,138.5,144.0,140.57040405273438,3043,0.0,155.75,-0.010598512535804225,0.03126792219808868
2022-01-21,138.5,144.0,138.0,143.0,139.59422302246094,6719,-0.006968669316093316,154.3,-0.009232492327677288,0.030771303337741248
2022-01-24,138.0,142.5,136.5,142.5,139.1061248779297,4139,-0.003502630551202112,152.7,-0.010129137096688834,0.030303217543119407
2022-01-25,140.0,140.0,132.5,138.0,134.7133026123047,9792,-0.03208831455150051,151.0,-0.011012039582812421,0.03068990088866773
2022-01-26,136.0,139.5,131.0,138.0,134.7133026123047,17460,0.0,150.075,-0.0062901162411501624,0.023631931303662774
2022-02-07,140.0,148.5,139.5,147.5,143.98704528808594,26844,0.0665744906226699,149.9,-0.0011725830517524862,0.027650959655254544
2022-02-08,141.5,147.5,141.5,147.5,143.98704528808594,7670,0.0,149.45,-0.002961391710016669,0.0262569323818376
2022-02-09,141.5,147.5,141.5,147.5,143.98704528808594,2729,0.0,148.65,-0.005149240727871674,0.023874158403181096
2022-02-10,141.5,151.0,141.5,151.0,147.40370178222656,18650,0.023451661035049882,148.075,-0.003669908247743383,0.024711817693753795
2022-02-11,144.5,150.0,144.5,150.0,146.42750549316406,118,-0.006644542718668613,147.45,-0.004002135383676814,0.024704546211864572
2022-02-14,142.5,145.0,136.0,143.5,140.0823211669922,22363,-0.04430025889657995,146.5,-0.006217148328505811,0.02626361650976259
2022-02-15,137.5,143.5,137.5,143.5,140.0823211669922,696,0.0,145.85,-0.004336048739026596,0.025222579189538873
2022-02-16,137.5,146.5,137.5,146.5,143.0108642578125,6456,0.020690393257446246,145.55,-0.002006958379517204,0.025278019691331834
2022-02-17,140.5,146.5,140.5,146.5,143.0108642578125,434,0.0,145.35,-0.001346882786590412,0.025142314059816824
2022-02-18,140.5,144.5,139.5,140.0,136.66566467285156,13635,-0.045383005847817695,145.05,-0.002098209954951599,0.02625474166631044
2022-02-21,145.0,148.5,141.0,148.5,144.96324157714844,21318,0.05894253563345002,145.175,0.000848916826720902,0.029597987796965573
2022-02-22,142.5,147.5,141.5,147.5,143.98704528808594,6115,-0.0067567824628797625,145.0,-0.0011725830517524765,0.02860204227149002
2022-02-23,141.5,147.0,141.5,146.5,143.0108642578125,2043,-0.006802747322752523,145.05,0.0003424670922787516,0.027374788687445716
2022-02-24,141.5,146.5,140.5,146.5,143.0108642578125,3141,0.0,145.1,0.0003424670922787516,0.027374788687445716
2022-02-25,140.5,146.5,140.5,146.5,143.0108642578125,4915,0.0,145.225,0.0008606064440560789,0.02725932723807296
2022-03-01,140.5,146.5,140.5,146.5,143.0108642578125,3339,0.0,145.35,0.0008606064440560789,0.02725932723807296
2022-03-02,146.5,146.5,140.5,146.5,143.0108642578125,392,0.0,145.525,0.0012090399098607448,0.027198454362911118
2022-03-03,140.5,146.5,140.5,146.0,142.5227813720703,16644,-0.003418806748785609,145.7,0.0012132310999815698,0.027197696545012022
2022-03-04,146.0,150.0,140.5,150.0,146.42750549316406,22834,0.02702867238791942,146.3,0.0041690804469525665,0.026593709593188485
2022-03-07,143.5,147.0,140.0,146.5,143.0108642578125,9876,-0.023609865639133736,146.725,0.00298858716499588,0.02730307456632879
2022-03-08,142.5,143.0,136.5,143.0,139.59422302246094,5232,-0.02418079819721474,146.5,-0.0015491772759983525,0.023448579796190912
2022-03-09,137.0,143.0,137.0,140.0,136.66566467285156,8678,-0.021202207650602937,146.125,-0.0026092876585284996,0.023850683502197604
2022-03-10,143.5,144.5,138.5,144.5,141.05850219726562,20725,0.03163708494318266,145.975,-0.0010274334113693662,0.02505174367712512
2022-03-11,145.0,145.0,139.0,139.0,135.68948364257812,52,-0.03880557442179512,145.375,-0.004140295184211616,0.02570927650415378
2022-03-14,139.0,144.5,139.0,144.5,141.05850219726562,7395,0.038805574421795073,145.1,-0.0018677893271884319,0.027427571483408176
2022-03-15,138.5,144.5,138.0,144.5,141.05850219726562,3588,0.0,145.15,0.0003472236176405654,0.02554460535114592
2022-03-16,138.0,144.0,138.0,144.0,140.57040405273438,5287,-0.003466207976486284,145.175,0.0001739132188162512,0.025558839602567503
2022-03-17,138.5,144.0,138.5,144.0,140.57040405273438,4141,0.0,145.05,-0.0008606064440560611,0.02509930910009537
