,Unnamed: 0,代號,股票名稱,上市日,市場別,產業別
335,337,2420,新巨,2000-09-11,上市,電子零組件業
336,338,2421,建準,2000-09-11,上市,電子零組件業
337,339,2423,固緯,2000-09-11,上市,其他電子業
338,340,2424,隴華,2000-09-11,上市,電腦及週邊設備業
339,341,2425,承啟,2000-09-11,上市,電腦及週邊設備業
340,342,2426,鼎元,2000-09-11,上市,光電業
341,343,2427,三商電,2000-09-11,上市,資訊服務業
342,344,2428,興勤,2000-09-11,上市,電子零組件業
343,345,2429,銘旺科,2000-09-11,上市,光電業
344,346,2430,燦坤,2000-09-11,上市,電子通路業
345,347,2431,聯昌,2000-09-11,上市,電子零組件業
346,348,2433,互盛電,2000-09-11,上市,其他電子業
347,349,2434,統懋,2000-09-11,上市,半導體業
348,350,2436,偉詮電,2000-09-11,上市,半導體業
349,351,2438,翔耀,2000-09-11,上市,光電業
350,352,2439,美律,2000-09-11,上市,通信網路業
351,353,2440,太空梭,2000-11-10,上市,電子零組件業
352,354,2441,超豐,2000-10-26,上市,半導體業
353,355,2442,新美齊,2000-11-22,上市,電腦及週邊設備業
354,356,2443,昶虹,2001-01-03,上市,其他業
355,357,2444,兆勁,2000-12-08,上市,通信網路業
356,358,2449,京元電子,2001-05-09,上市,半導體業
357,359,2450,神腦,2001-05-24,上市,通信網路業
358,360,2451,創見,2001-05-03,上市,半導體業
359,361,2453,凌群,2001-05-22,上市,資訊服務業
360,362,2454,聯發科,2001-07-23,上市,半導體業
361,363,2455,全新,2002-01-24,上市,通信網路業
362,364,2457,飛宏,2001-09-17,上市,電子零組件業
363,365,2458,義隆,2001-09-17,上市,半導體業
364,366,2459,敦吉,2001-09-17,上市,其他電子業
365,367,2460,建通,2001-09-17,上市,電子零組件業
366,368,2461,光群雷,2001-09-17,上市,其他電子業
367,369,2462,良得電,2001-09-17,上市,電子零組件業
368,370,2464,盟立,2001-09-17,上市,其他電子業
369,371,2465,麗臺,2001-09-19,上市,電腦及週邊設備業
370,372,2466,冠西電,2001-09-17,上市,光電業
371,373,2467,志聖,2001-09-17,上市,電子零組件業
372,374,2468,華經,2001-09-17,上市,資訊服務業
373,375,2471,資通,2001-09-17,上市,資訊服務業
374,376,2472,立隆電,2001-09-17,上市,電子零組件業
375,377,2474,可成,2001-09-17,上市,其他電子業
376,378,2476,鉅祥,2001-09-17,上市,電子零組件業
377,379,2477,美隆電,2001-09-17,上市,其他電子業
378,380,2478,大毅,2001-09-17,上市,電子零組件業
379,381,2480,敦陽科,2001-09-17,上市,資訊服務業
380,382,2481,強茂,2001-09-17,上市,半導體業
381,383,2482,連宇,2001-09-17,上市,其他電子業
382,384,2483,百容,2001-09-17,上市,電子零組件業
383,385,2484,希華,2001-09-17,上市,電子零組件業
384,386,2485,兆赫,2001-09-17,上市,通信網路業
385,387,2486,一詮,2001-09-19,上市,光電業
386,388,2488,漢平,2001-09-17,上市,其他電子業
387,389,2489,瑞軒,2001-09-17,上市,光電業
388,390,2491,吉祥全,2001-09-17,上市,光電業
389,391,2492,華新科,2001-09-17,上市,電子零組件業
390,392,2493,揚博,2002-01-23,上市,電子零組件業
391,393,2495,普安,2002-03-25,上市,電腦及週邊設備業
392,394,2496,卓越,2002-03-08,上市,其他業
393,395,2497,怡利電,2002-02-04,上市,汽車工業
394,396,2498,宏達電,2002-03-26,上市,通信網路業
395,397,2501,國建,1967-10-28,上市,建材營造業
396,398,2504,國產,1978-03-14,上市,建材營造業
397,399,2505,國揚,1979-11-14,上市,建材營造業
398,400,2506,太設,1980-02-02,上市,建材營造業
