,Unnamed: 0,代號,股票名稱,上市日,市場別,產業別
0,2,1101,台泥,1962-02-09,上市,水泥工業
1,3,1102,亞泥,1962-06-08,上市,水泥工業
2,4,1103,嘉泥,1969-11-14,上市,水泥工業
3,5,1104,環泥,1971-02-01,上市,水泥工業
4,6,1108,幸福,1990-06-06,上市,水泥工業
5,7,1109,信大,1991-12-05,上市,水泥工業
6,8,1110,東泥,1994-10-22,上市,水泥工業
7,9,1201,味全,1962-02-09,上市,食品工業
8,10,1203,味王,1964-08-24,上市,食品工業
9,11,1210,大成,1978-05-20,上市,食品工業
10,12,1213,大飲,1981-04-10,上市,食品工業
11,13,1215,卜蜂,1987-07-27,上市,食品工業
12,14,1216,統一,1987-12-28,上市,食品工業
13,15,1217,愛之味,1989-10-28,上市,食品工業
14,16,1218,泰山,1989-11-11,上市,食品工業
15,17,1219,福壽,1990-12-01,上市,食品工業
16,18,1220,台榮,1991-11-20,上市,食品工業
17,19,1225,福懋油,1993-09-27,上市,食品工業
18,20,1227,佳格,1994-04-09,上市,食品工業
19,21,1229,聯華,1976-07-19,上市,食品工業
20,22,1231,聯華食,1995-11-02,上市,食品工業
21,23,1232,大統益,1996-02-09,上市,食品工業
22,24,1233,天仁,1999-01-20,上市,食品工業
23,25,1234,黑松,1999-03-12,上市,食品工業
24,26,1235,興泰,2000-09-11,上市,食品工業
25,27,1236,宏亞,2001-09-17,上市,食品工業
27,29,1301,台塑,1964-07-27,上市,塑膠工業
28,30,1303,南亞,1967-11-05,上市,塑膠工業
29,31,1304,台聚,1972-05-20,上市,塑膠工業
30,32,1305,華夏,1973-03-05,上市,塑膠工業
31,33,1307,三芳,1985-11-23,上市,塑膠工業
32,34,1308,亞聚,1986-06-20,上市,塑膠工業
33,35,1309,台達化,1986-06-27,上市,塑膠工業
34,36,1310,台苯,1987-08-06,上市,塑膠工業
35,37,1312,國喬,1988-12-21,上市,塑膠工業
36,38,1313,聯成,1989-03-27,上市,塑膠工業
37,39,1314,中石化,1991-07-12,上市,塑膠工業
38,40,1315,達新,1992-05-09,上市,塑膠工業
39,41,1316,上曜,1992-10-15,上市,建材營造業
40,42,1319,東陽,1994-12-12,上市,汽車工業
41,43,1321,大洋,1999-01-26,上市,塑膠工業
42,44,1323,永裕,2000-09-11,上市,塑膠工業
43,45,1324,地球,2000-09-11,上市,塑膠工業
44,46,1325,恆大,2000-09-11,上市,塑膠工業
45,47,1326,台化,1984-12-20,上市,塑膠工業
48,50,1339,昭輝,2012-04-24,上市,汽車工業
51,53,1342,八貫,2020-11-24,上市,其他業
52,54,1402,遠東新,1967-04-14,上市,紡織纖維
53,55,1409,新纖,1973-08-31,上市,紡織纖維
54,56,1410,南染,1973-10-18,上市,紡織纖維
55,57,1413,宏洲,1975-12-23,上市,紡織纖維
56,58,1414,東和,1976-02-02,上市,紡織纖維
57,59,1416,廣豐,1976-04-20,上市,其他業
58,60,1417,嘉裕,1976-12-28,上市,紡織纖維
59,61,1418,東華,1977-02-14,上市,紡織纖維
60,62,1419,新紡,1977-03-14,上市,紡織纖維
61,63,1423,利華,1979-04-02,上市,紡織纖維
62,64,1432,大魯閣,1982-07-26,上市,貿易百貨業
63,65,1434,福懋,1985-12-24,上市,紡織纖維
64,66,1435,中福,1987-12-28,上市,其他業
65,67,1436,華友聯,1988-04-11,上市,建材營造業
66,68,1437,勤益控,1988-11-10,上市,其他業
67,69,1438,三地開發,1988-12-15,上市,建材營造業
68,70,1439,雋揚,1989-05-22,上市,紡織纖維
69,71,1440,南紡,1989-10-03,上市,紡織纖維
70,72,1441,大東,1989-10-27,上市,紡織纖維
71,73,1442,名軒,1989-11-16,上市,建材營造業
72,74,1443,立益物流,1990-04-21,上市,其他業
73,75,1444,力麗,1990-08-08,上市,紡織纖維
74,76,1445,大宇,1991-02-05,上市,紡織纖維
75,77,1446,宏和,1991-10-15,上市,紡織纖維
76,78,1447,力鵬,1992-01-28,上市,紡織纖維
77,79,1449,佳和,1992-03-12,上市,紡織纖維
78,80,1451,年興,1992-12-21,上市,紡織纖維
79,81,1452,宏益,1992-12-28,上市,紡織纖維
80,82,1453,大將,1993-04-19,上市,建材營造業
81,83,1454,台富,1993-05-07,上市,紡織纖維
82,84,1455,集盛,1993-10-07,上市,紡織纖維
83,85,1456,怡華,1993-12-09,上市,建材營造業
84,86,1457,宜進,1994-10-20,上市,紡織纖維
85,87,1459,聯發,1994-10-26,上市,紡織纖維
86,88,1460,宏遠,1995-04-28,上市,紡織纖維
87,89,1463,強盛,1996-12-05,上市,紡織纖維
88,90,1464,得力,1997-01-18,上市,紡織纖維
89,91,1465,偉全,1997-09-08,上市,紡織纖維
90,92,1466,聚隆,1998-04-04,上市,紡織纖維
91,93,1467,南緯,1998-12-21,上市,紡織纖維
92,94,1468,昶和,1999-01-21,上市,紡織纖維
93,95,1470,大統新創,1999-05-21,上市,紡織纖維
94,96,1471,首利,2000-03-06,上市,電子零組件業
95,97,1472,三洋實業,2000-09-11,上市,紡織纖維
96,98,1473,台南,2000-09-11,上市,紡織纖維
97,99,1474,弘裕,2000-10-31,上市,紡織纖維
98,100,1475,業旺,2000-10-27,上市,紡織纖維
99,101,1476,儒鴻,2001-04-18,上市,紡織纖維
100,102,1477,聚陽,2003-01-21,上市,紡織纖維
101,103,1503,士電,1969-12-15,上市,電機機械
102,104,1504,東元,1973-11-05,上市,電機機械
103,105,1506,正道,1980-08-11,上市,電機機械
104,106,1512,瑞利,1994-01-28,上市,汽車工業
105,107,1513,中興電,1994-03-08,上市,電機機械
106,108,1514,亞力,1994-03-26,上市,電機機械
107,109,1515,力山,1995-02-04,上市,電機機械
108,110,1516,川飛,1995-04-01,上市,其他業
109,111,1517,利奇,1995-11-14,上市,電機機械
110,112,1519,華城,1997-04-16,上市,電機機械
111,113,1521,大億,1997-10-06,上市,汽車工業
112,114,1522,堤維西,1997-10-06,上市,汽車工業
113,115,1524,耿鼎,1998-10-30,上市,汽車工業
114,116,1525,江申,1999-05-15,上市,汽車工業
115,117,1526,日馳,2000-03-27,上市,電機機械
116,118,1527,鑽全,2000-06-21,上市,電機機械
117,119,1528,恩德,2000-09-11,上市,電機機械
118,120,1529,樂事綠能,2000-09-11,上市,電機機械
119,121,1530,亞崴,2000-09-11,上市,電機機械
120,122,1531,高林股,2000-09-11,上市,電機機械
121,123,1532,勤美,2000-09-11,上市,電機機械
122,124,1533,車王電,2001-04-06,上市,汽車工業
123,125,1535,中宇,2001-09-17,上市,電機機械
124,126,1536,和大,2001-09-17,上市,汽車工業
125,127,1537,廣隆,2002-01-22,上市,電機機械
126,128,1538,正峰,2002-08-26,上市,電機機械
127,129,1539,巨庭,2002-10-29,上市,電機機械
128,130,1540,喬福,2002-08-26,上市,電機機械
129,131,1541,錩泰,2003-03-19,上市,電機機械
130,132,1558,伸興,2014-12-23,上市,電機機械
131,133,1560,中砂,2005-01-31,上市,電機機械
132,134,1568,倉佑,2014-05-14,上市,汽車工業
133,135,1582,信錦,2009-12-17,上市,電子零組件業
134,136,1583,程泰,2008-01-24,上市,電機機械
135,137,1587,吉茂,2018-04-16,上市,汽車工業
138,140,1597,直得,2020-12-23,上市,電機機械
139,141,1598,岱宇,2016-09-20,上市,生技醫療業
140,142,1603,華電,1968-06-03,上市,電器電纜
141,143,1604,聲寶,1970-12-14,上市,電器電纜
142,144,1605,華新,1972-11-03,上市,電器電纜
143,145,1608,華榮,1988-07-11,上市,電器電纜
144,146,1609,大亞,1988-12-12,上市,電器電纜
145,147,1611,中電,1990-01-16,上市,電器電纜
146,148,1612,宏泰,1993-05-08,上市,電器電纜
147,149,1614,三洋電,1997-09-18,上市,電器電纜
148,150,1615,大山,2000-03-30,上市,電器電纜
149,151,1616,億泰,2000-09-11,上市,電器電纜
150,152,1617,榮星,2000-09-11,上市,電器電纜
151,153,1618,合機,2000-09-11,上市,電器電纜
153,155,1701,中化,1962-02-09,上市,生技醫療業
154,156,1702,南僑,1973-05-30,上市,食品工業
155,157,1707,葡萄王,1982-12-20,上市,生技醫療業
156,158,1708,東鹼,1986-06-16,上市,化學工業
157,159,1709,和益,1986-07-03,上市,化學工業
158,160,1710,東聯,1987-10-21,上市,化學工業
159,161,1711,永光,1988-12-27,上市,化學工業
160,162,1712,興農,1989-12-14,上市,化學工業
161,163,1713,國化,1990-01-31,上市,化學工業
162,164,1714,和桐,1991-08-30,上市,化學工業
163,165,1717,長興,1994-03-31,上市,化學工業
164,166,1718,中纖,1963-12-02,上市,化學工業
165,167,1720,生達,1995-12-12,上市,生技醫療業
